[2026-04-09 08:50:13] train_start model=DDQN algorithm=DDQN name=ddqn-no-obstacle episodes=6000 obstacle_map=Yok
[2026-04-09 09:33:38] ep=4000 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=78.96s total_time=2814.52s
[2026-04-09 09:35:06] ep=4100 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=95.56s total_time=2910.09s
[2026-04-09 09:36:50] ep=4200 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=112.93s total_time=3023.01s
[2026-04-09 09:38:26] ep=4300 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=105.79s total_time=3128.81s
[2026-04-09 09:39:44] ep=4400 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=82.36s total_time=3211.17s
[2026-04-09 09:40:58] ep=4500 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=82.32s total_time=3293.48s
[2026-04-09 09:42:12] ep=4600 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=78.80s total_time=3372.28s
[2026-04-09 09:43:25] ep=4700 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=79.76s total_time=3452.04s
[2026-04-09 09:44:48] ep=4800 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=88.22s total_time=3540.25s
[2026-04-09 09:46:14] ep=4900 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=93.07s total_time=3633.32s
[2026-04-09 09:47:42] ep=5000 success_100=2/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=96.10s total_time=3729.42s
[2026-04-09 09:49:15] ep=5100 success_100=4/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=100.18s total_time=3829.60s
[2026-04-09 09:50:43] ep=5200 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=97.72s total_time=3927.32s
[2026-04-09 09:52:13] ep=5300 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=97.47s total_time=4024.79s
[2026-04-09 09:53:43] ep=5400 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=97.87s total_time=4122.65s
[2026-04-09 09:55:16] ep=5500 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=99.86s total_time=4222.51s
[2026-04-09 09:57:02] ep=5600 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=113.65s total_time=4336.16s
[2026-04-09 09:58:44] ep=5700 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=111.79s total_time=4447.95s
[2026-04-09 10:00:27] ep=5800 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=110.48s total_time=4558.43s
[2026-04-09 10:02:08] ep=5900 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=108.38s total_time=4666.82s
[2026-04-09 10:03:46] ep=6000 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=108.68s total_time=4775.49s
[2026-04-09 10:03:46] run_end episodes=6000 stop_reason=completed_all_episodes total_steps=1491770 elapsed=4775.49s
[2026-04-09 10:03:47] best_weights_loaded best_success=0.36 best_episode=1465
[2026-04-09 10:03:47] artifacts_saved model_path=model_ddqn-no-obstacle_20260409_085013.pt
