timestamp,run_id,model_name,model_arch,obstacle_map,hp_batch_size,hp_buffer_size,hp_clip_grad,hp_epsilon_decay,hp_epsilon_min,hp_epsilon_start,hp_gamma,hp_hidden1,hp_hidden2,hp_learning_rate,hp_min_replay_size,hp_n_episodes,hp_obstacle_map,hp_return_safety_margin,hp_reward_scale,hp_stop_reward,hp_target_update_freq,hp_train_freq,ep_battery_dead,ep_blocked,ep_charge_visits,ep_cleaned_cells,ep_energy,ep_episode,ep_episode_chunk_time_sec,ep_epsilon,ep_reward,ep_steps,ep_stop_reason,ep_success,ep_time_since_start_sec
2026-04-09 08:50:13,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,42,250,1,0.009,0.9993,74.0,250,,0,0.009
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,42,250,2,0.008,0.9986,66.2,250,,0,0.019
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,25,47,250,3,0.006,0.9979,92.8,250,,0,0.224
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,16,45,250,4,0.027,0.9972,92.9,250,,0,0.377
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,25,43,250,5,0.006,0.9965,72.5,250,,0,0.495
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,21,44,250,6,0.006,0.9958,81.0,250,,0,0.616
2026-04-09 08:50:14,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,23,41,250,7,0.011,0.9951,65.9,250,,0,0.757
2026-04-09 08:50:15,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,41,250,8,0.009,0.9944,64.9,250,,0,0.999
2026-04-09 08:50:15,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,39,250,9,0.009,0.9937,54.6,250,,0,1.128
2026-04-09 08:50:15,ddqn-no-obstacle_20260409_085013,ddqn-no-obstacle,DDQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,26,41,250,10,0.007,0.993,65.8,250,,0,1.346
