episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
49,45.9,250,250,26,38,0,0.9663,0,False,11.956,0.489,,0.0%,12/16,38/48,ddqn-no-obstacle,DDQN
50,87.9,250,250,19,45,0,0.9656,0,False,12.445,0.488,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
51,80.5,250,250,19,44,0,0.9649,0,False,12.972,0.526,,0.0%,16/16,44/48,ddqn-no-obstacle,DDQN
52,92.7,250,250,22,45,0,0.9642,0,False,13.467,0.494,,0.0%,2/16,45/48,ddqn-no-obstacle,DDQN
53,49.5,250,250,24,38,0,0.9636,0,False,13.978,0.51,,0.0%,6/16,38/48,ddqn-no-obstacle,DDQN
54,80.0,250,250,25,45,0,0.9629,0,False,14.601,0.622,,0.0%,8/16,45/48,ddqn-no-obstacle,DDQN
55,70.6,250,250,25,41,0,0.9622,0,False,15.161,0.56,,0.0%,14/16,41/48,ddqn-no-obstacle,DDQN
56,79.5,250,250,19,43,0,0.9615,0,False,15.667,0.505,,0.0%,4/16,43/48,ddqn-no-obstacle,DDQN
57,97.2,250,250,20,45,0,0.9609,0,False,16.19,0.523,,0.0%,8/16,45/48,ddqn-no-obstacle,DDQN
58,59.8,250,250,24,40,0,0.9602,0,False,16.707,0.516,,0.0%,16/16,40/48,ddqn-no-obstacle,DDQN
59,76.8,250,250,23,43,0,0.9595,0,False,17.318,0.61,,0.0%,10/16,43/48,ddqn-no-obstacle,DDQN
60,76.3,250,250,17,41,0,0.9589,0,False,17.843,0.525,,0.0%,14/16,41/48,ddqn-no-obstacle,DDQN
61,70.4,250,250,30,43,0,0.9582,0,False,18.47,0.626,,0.0%,14/16,43/48,ddqn-no-obstacle,DDQN
62,78.5,250,250,22,44,0,0.9575,0,False,19.074,0.603,,0.0%,6/16,44/48,ddqn-no-obstacle,DDQN
63,64.6,250,250,22,40,0,0.9568,0,False,19.658,0.584,,0.0%,6/16,40/48,ddqn-no-obstacle,DDQN
64,85.7,250,250,23,45,0,0.9562,0,False,20.279,0.621,,0.0%,12/16,45/48,ddqn-no-obstacle,DDQN
65,59.4,250,250,25,40,0,0.9555,0,False,20.87,0.59,,0.0%,10/16,40/48,ddqn-no-obstacle,DDQN
66,91.4,250,250,24,46,0,0.9548,0,False,21.43,0.56,,0.0%,12/16,46/48,ddqn-no-obstacle,DDQN
67,87.3,250,250,23,45,0,0.9542,0,False,22.042,0.61,,0.0%,4/16,45/48,ddqn-no-obstacle,DDQN
68,75.3,250,250,27,43,0,0.9535,0,False,22.603,0.56,,0.0%,14/16,43/48,ddqn-no-obstacle,DDQN
69,84.5,250,250,22,44,0,0.9528,0,False,23.265,0.661,,0.0%,16/16,44/48,ddqn-no-obstacle,DDQN
70,64.6,250,250,23,41,0,0.9522,0,False,23.799,0.534,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
71,73.2,250,250,22,42,0,0.9515,0,False,24.343,0.543,,0.0%,6/16,42/48,ddqn-no-obstacle,DDQN
72,51.2,250,250,22,38,0,0.9508,0,False,24.898,0.554,,0.0%,6/16,38/48,ddqn-no-obstacle,DDQN
73,56.9,250,250,26,39,0,0.9502,0,False,25.472,0.574,,0.0%,16/16,39/48,ddqn-no-obstacle,DDQN
74,70.7,250,250,24,43,0,0.9495,0,False,26.022,0.549,,0.0%,14/16,43/48,ddqn-no-obstacle,DDQN
75,58.4,250,250,21,39,0,0.9488,0,False,26.572,0.55,,0.0%,14/16,39/48,ddqn-no-obstacle,DDQN
76,84.0,250,250,29,45,0,0.9482,0,False,27.228,0.655,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
77,67.8,250,250,28,42,0,0.9475,0,False,27.768,0.54,,0.0%,14/16,42/48,ddqn-no-obstacle,DDQN
78,63.7,250,250,23,40,0,0.9468,0,False,28.316,0.548,,0.0%,6/16,40/48,ddqn-no-obstacle,DDQN
79,60.2,250,250,27,40,0,0.9462,0,False,28.864,0.547,,0.0%,12/16,40/48,ddqn-no-obstacle,DDQN
80,68.4,250,250,26,41,0,0.9455,0,False,29.429,0.564,,0.0%,16/16,41/48,ddqn-no-obstacle,DDQN
81,72.0,250,250,21,42,0,0.9449,0,False,29.979,0.549,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
82,88.2,250,250,21,45,0,0.9442,0,False,30.52,0.54,,0.0%,2/16,45/48,ddqn-no-obstacle,DDQN
83,73.8,250,250,26,42,0,0.9435,0,False,31.17,0.649,,0.0%,10/16,42/48,ddqn-no-obstacle,DDQN
