[2026-04-09 10:06:50] train_start model=DQN algorithm=DQN name=dqn-no-obstacle episodes=6000 obstacle_map=Yok
[2026-04-09 10:47:13] ep=4000 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=74.86s total_time=2626.66s
[2026-04-09 10:48:27] ep=4100 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=79.25s total_time=2705.91s
[2026-04-09 10:49:38] ep=4200 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=78.33s total_time=2784.24s
[2026-04-09 10:50:54] ep=4300 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=80.79s total_time=2865.03s
[2026-04-09 10:52:15] ep=4400 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=88.19s total_time=2953.22s
[2026-04-09 10:53:24] ep=4500 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=74.58s total_time=3027.80s
[2026-04-09 10:54:28] ep=4600 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=71.46s total_time=3099.26s
[2026-04-09 10:55:35] ep=4700 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=71.97s total_time=3171.23s
[2026-04-09 10:56:41] ep=4800 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=71.93s total_time=3243.16s
[2026-04-09 10:58:00] ep=4900 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=83.49s total_time=3326.66s
[2026-04-09 10:59:20] ep=5000 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=87.68s total_time=3414.34s
[2026-04-09 11:00:44] ep=5100 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=91.66s total_time=3506.00s
