timestamp,run_id,model_name,model_arch,obstacle_map,hp_batch_size,hp_buffer_size,hp_clip_grad,hp_epsilon_decay,hp_epsilon_min,hp_epsilon_start,hp_gamma,hp_hidden1,hp_hidden2,hp_learning_rate,hp_min_replay_size,hp_n_episodes,hp_obstacle_map,hp_return_safety_margin,hp_reward_scale,hp_stop_reward,hp_target_update_freq,hp_train_freq,ep_battery_dead,ep_blocked,ep_charge_visits,ep_cleaned_cells,ep_energy,ep_episode,ep_episode_chunk_time_sec,ep_epsilon,ep_reward,ep_steps,ep_stop_reason,ep_success,ep_time_since_start_sec
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,30,42,250,1,0.01,0.9993,69.2,250,,0,0.01
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,21,42,250,2,0.017,0.9986,64.2,250,,0,0.029
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,28,42,250,3,0.046,0.9979,69.2,250,,0,0.275
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,22,39,250,4,0.008,0.9972,51.3,250,,0,0.373
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,22,43,250,5,0.008,0.9965,73.7,250,,0,0.512
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,20,42,250,6,0.019,0.9958,72.5,250,,0,0.651
2026-04-09 10:06:50,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,43,250,7,0.007,0.9951,75.6,250,,0,0.767
2026-04-09 10:06:51,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,19,47,250,8,0.008,0.9944,98.7,250,,0,0.895
2026-04-09 10:06:51,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,24,40,250,9,0.007,0.9937,62.2,250,,0,1.135
2026-04-09 10:06:51,dqn-no-obstacle_20260409_100650,dqn-no-obstacle,DQN,Yok,128,50000,5.0,0.9993,0.05,1.0,0.97,256,128,0.001,3000,6000,Yok,2,1.0,200.0,200,2,False,0,23,41,250,10,0.005,0.993,70.5,250,,0,1.259
