episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
51,70.5,250,250,26,42,0,0.9649,0,False,13.802,0.513,,0.0%,2/16,42/48,dqn-no-obstacle,DQN
52,79.5,250,250,22,43,0,0.9642,0,False,14.306,0.504,,0.0%,8/16,43/48,dqn-no-obstacle,DQN
53,86.8,250,250,19,44,0,0.9636,0,False,14.85,0.543,,0.0%,4/16,44/48,dqn-no-obstacle,DQN
54,85.4,250,250,19,44,0,0.9629,0,False,15.341,0.491,,0.0%,4/16,44/48,dqn-no-obstacle,DQN
55,77.5,250,250,23,43,0,0.9622,0,False,15.941,0.599,,0.0%,6/16,43/48,dqn-no-obstacle,DQN
56,102.3,250,250,19,48,1,0.9615,0,False,16.428,0.487,,2.0%,4/16,48/48,dqn-no-obstacle,DQN
57,79.3,250,250,20,43,0,0.9609,0,False,16.931,0.502,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
58,92.2,250,250,23,45,0,0.9602,0,False,17.439,0.507,,2.0%,12/16,45/48,dqn-no-obstacle,DQN
59,70.6,250,250,26,42,0,0.9595,0,False,17.937,0.497,,2.0%,16/16,42/48,dqn-no-obstacle,DQN
60,52.5,250,250,28,40,0,0.9589,0,False,18.503,0.566,,2.0%,10/16,40/48,dqn-no-obstacle,DQN
61,72.1,250,250,25,43,0,0.9582,0,False,19.361,0.857,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
62,75.1,250,250,22,43,0,0.9575,0,False,20.167,0.806,,2.0%,12/16,43/48,dqn-no-obstacle,DQN
63,92.3,250,250,25,45,0,0.9568,0,False,20.711,0.543,,2.0%,6/16,45/48,dqn-no-obstacle,DQN
64,71.2,250,250,20,41,0,0.9562,0,False,21.766,1.054,,2.0%,8/16,41/48,dqn-no-obstacle,DQN
65,94.9,250,250,21,47,0,0.9555,0,False,22.782,1.015,,2.0%,8/16,47/48,dqn-no-obstacle,DQN
66,81.8,250,250,20,43,0,0.9548,0,False,23.682,0.9,,2.0%,6/16,43/48,dqn-no-obstacle,DQN
67,72.2,250,250,26,43,0,0.9542,0,False,24.268,0.585,,2.0%,16/16,43/48,dqn-no-obstacle,DQN
68,48.7,250,250,31,38,0,0.9535,0,False,24.857,0.589,,2.0%,2/16,38/48,dqn-no-obstacle,DQN
69,67.1,250,250,30,41,0,0.9528,0,False,25.562,0.704,,2.0%,16/16,41/48,dqn-no-obstacle,DQN
70,65.7,250,250,31,42,0,0.9522,0,False,26.101,0.538,,2.0%,8/16,42/48,dqn-no-obstacle,DQN
71,95.2,250,250,21,46,0,0.9515,0,False,26.64,0.537,,2.0%,12/16,46/48,dqn-no-obstacle,DQN
72,69.5,250,250,24,42,0,0.9508,0,False,27.184,0.543,,2.0%,2/16,42/48,dqn-no-obstacle,DQN
73,95.3,250,250,20,46,0,0.9502,0,False,27.934,0.75,,2.0%,10/16,46/48,dqn-no-obstacle,DQN
74,70.3,250,250,22,41,0,0.9495,0,False,28.458,0.523,,2.0%,4/16,41/48,dqn-no-obstacle,DQN
75,50.5,250,250,23,38,0,0.9488,0,False,29.138,0.679,,2.0%,2/16,38/48,dqn-no-obstacle,DQN
76,72.2,250,250,23,41,0,0.9482,0,False,29.802,0.664,,2.0%,16/16,41/48,dqn-no-obstacle,DQN
77,64.4,250,250,23,41,0,0.9475,0,False,30.471,0.669,,2.0%,4/16,41/48,dqn-no-obstacle,DQN
78,69.5,250,250,25,41,0,0.9468,0,False,31.027,0.555,,2.0%,12/16,41/48,dqn-no-obstacle,DQN
79,66.0,250,250,27,41,0,0.9462,0,False,31.603,0.575,,2.0%,2/16,41/48,dqn-no-obstacle,DQN
80,65.8,250,250,23,41,0,0.9455,0,False,32.615,1.01,,2.0%,12/16,41/48,dqn-no-obstacle,DQN
81,78.1,250,250,20,42,0,0.9449,0,False,33.921,1.306,,2.0%,6/16,42/48,dqn-no-obstacle,DQN
82,74.8,250,250,25,42,0,0.9442,0,False,34.605,0.683,,2.0%,14/16,42/48,dqn-no-obstacle,DQN
83,91.3,250,250,19,45,0,0.9435,0,False,35.354,0.748,,2.0%,6/16,45/48,dqn-no-obstacle,DQN
84,79.6,250,250,24,44,0,0.9429,0,False,35.933,0.578,,2.0%,16/16,44/48,dqn-no-obstacle,DQN
85,64.6,250,250,24,40,0,0.9422,0,False,36.733,0.799,,2.0%,14/16,40/48,dqn-no-obstacle,DQN
86,82.0,250,250,24,44,0,0.9416,0,False,37.456,0.722,,2.0%,16/16,44/48,dqn-no-obstacle,DQN
87,67.9,250,250,26,42,0,0.9409,0,False,38.114,0.658,,2.0%,2/16,42/48,dqn-no-obstacle,DQN
88,72.1,250,250,21,41,0,0.9402,0,False,38.774,0.66,,2.0%,14/16,41/48,dqn-no-obstacle,DQN
89,92.8,250,250,21,45,0,0.9396,0,False,39.478,0.703,,2.0%,10/16,45/48,dqn-no-obstacle,DQN
90,57.0,250,250,21,39,0,0.9389,0,False,40.14,0.662,,2.0%,4/16,39/48,dqn-no-obstacle,DQN
91,68.3,250,250,25,42,0,0.9383,0,False,40.822,0.681,,2.0%,14/16,42/48,dqn-no-obstacle,DQN
92,71.1,250,250,20,41,0,0.9376,0,False,41.375,0.553,,2.0%,2/16,41/48,dqn-no-obstacle,DQN
93,74.4,250,250,24,42,0,0.937,0,False,41.917,0.541,,2.0%,16/16,42/48,dqn-no-obstacle,DQN
94,88.1,250,250,22,46,0,0.9363,0,False,42.46,0.543,,2.0%,12/16,46/48,dqn-no-obstacle,DQN
95,76.5,250,250,20,43,0,0.9356,0,False,42.992,0.531,,2.0%,2/16,43/48,dqn-no-obstacle,DQN
96,94.9,250,250,24,46,0,0.935,0,False,43.537,0.544,,2.0%,14/16,46/48,dqn-no-obstacle,DQN
97,30.8,250,250,27,33,0,0.9343,0,False,44.09,0.553,,2.0%,14/16,33/48,dqn-no-obstacle,DQN
98,70.6,250,250,21,42,0,0.9337,0,False,44.674,0.583,,2.0%,4/16,42/48,dqn-no-obstacle,DQN
99,69.0,250,250,21,42,0,0.933,0,False,45.344,0.669,,2.0%,2/16,42/48,dqn-no-obstacle,DQN
100,62.0,250,250,20,39,0,0.9324,0,False,45.964,0.619,,2.0%,12/16,39/48,dqn-no-obstacle,DQN
101,92.7,250,250,19,45,0,0.9317,0,False,46.563,0.598,,2.0%,12/16,45/48,dqn-no-obstacle,DQN
102,88.2,250,250,21,45,0,0.9311,0,False,47.178,0.615,,2.0%,4/16,45/48,dqn-no-obstacle,DQN
103,79.3,250,250,22,44,0,0.9304,0,False,47.786,0.607,,2.0%,6/16,44/48,dqn-no-obstacle,DQN
104,76.9,250,250,25,43,0,0.9298,0,False,48.339,0.553,,2.0%,10/16,43/48,dqn-no-obstacle,DQN
105,93.4,250,250,24,45,0,0.9291,0,False,48.857,0.517,,2.0%,16/16,45/48,dqn-no-obstacle,DQN
106,53.3,250,250,22,38,0,0.9285,0,False,49.54,0.682,,0.0%,4/16,38/48,dqn-no-obstacle,DQN
107,81.8,250,250,25,44,0,0.9278,0,False,50.097,0.557,,0.0%,10/16,44/48,dqn-no-obstacle,DQN
108,44.7,250,250,26,37,0,0.9272,0,False,50.654,0.556,,0.0%,12/16,37/48,dqn-no-obstacle,DQN
109,65.7,250,250,24,41,0,0.9265,0,False,51.167,0.513,,0.0%,16/16,41/48,dqn-no-obstacle,DQN
